TMW Order #,TMW Leg #,Doc Type,Carrier Invoice #,Carrier Amount,Carrier Invoice Date,Approved Date,Transflo
115356,115990,BL,,,,1/24/2024,COMPLETED
115356,115990,BL,,,,1/24/2024,COMPLETED
115806,116439,POD,,,,1/24/2024,COMPLETED
114962,115596,BL,,,,1/24/2024,COMPLETED
117068,117707,POD,,,,1/24/2024,COMPLETED
114578,115211,POD,,,,1/24/2024,COMPLETED
116465,117101,POD,,,,1/24/2024,COMPLETED
110973,111598,POD,,,,1/24/2024,COMPLETED
114844,115477,POD,,,,1/24/2024,COMPLETED
116129,116764,POD,,,,1/24/2024,COMPLETED
114844,115477,POD,,,,1/24/2024,COMPLETED
115737,116370,POD,,,,1/24/2024,COMPLETED
114524,115157,POD,,,,1/24/2024,COMPLETED
114524,115157,POD,,,,1/24/2024,COMPLETED
116461,117097,POD,,,,1/24/2024,COMPLETED
116243,116879,POD,,,,1/24/2024,COMPLETED
116704,117341,POD,,,,1/24/2024,COMPLETED
115212,115846,POD,,,,1/24/2024,COMPLETED
116071,116706,POD,,,,1/24/2024,COMPLETED
115275,115909,POD,,,,1/24/2024,COMPLETED
114951,115585,POD,,,,1/24/2024,COMPLETED
116128,116763,POD,,,,1/24/2024,COMPLETED
114549,115182,POD,,,,1/24/2024,COMPLETED
116074,116709,POD,,,,1/24/2024,COMPLETED
116071,116706,POD,,0,1/24/2024,1/24/2024,COMPLETED
116298,116934,POD,,0,1/24/2024,1/24/2024,COMPLETED
115360,115994,POD,,,,1/24/2024,COMPLETED
113330,113961,BL,,,,1/24/2024,COMPLETED
116596,117233,POD,,,,1/24/2024,COMPLETED
113686,114317,POD,,,,1/24/2024,COMPLETED
102216,102798,POD,,,,1/24/2024,COMPLETED
102216,102798,POD,,,,1/24/2024,COMPLETED
102216,102798,POD,,,,1/24/2024,COMPLETED
116268,116904,POD,,,,1/24/2024,COMPLETED
116695,117332,POD,,,,1/24/2024,COMPLETED
115859,116493,POD,,,,1/24/2024,COMPLETED
116060,116695,BL,,,,1/24/2024,COMPLETED
102216,102798,POD,,,,1/24/2024,COMPLETED
116060,116695,POD,,,,1/24/2024,COMPLETED
116696,117333,POD,,,,1/24/2024,COMPLETED
114394,115026,POD,,,,1/24/2024,COMPLETED
114080,114708,POD,,,,1/24/2024,COMPLETED
115418,116052,POD,,,,1/24/2024,COMPLETED
116086,116721,POD,,,,1/24/2024,COMPLETED
116785,117422,BL,,,,1/24/2024,COMPLETED
114776,115409,CI,114776,900,1/24/2024,1/24/2024,APPROVED
114667,115300,POD,,,,1/24/2024,COMPLETED
116173,116808,BL,,,,1/24/2024,COMPLETED
114968,115602,CI,8969566,2550,1/24/2024,1/24/2024,APPROVED
115797,116430,CI,4107072,675,1/24/2024,1/24/2024,APPROVED
116240,116876,CI,527151314,650,1/24/2024,1/24/2024,APPROVED
116850,117487,CI,55394,675,1/24/2024,1/24/2024,APPROVED
115392,116026,CI,796,3000,1/24/2024,1/24/2024,APPROVED
115819,116452,CI,42477,1000,1/24/2024,1/24/2024,APPROVED
113049,113680,CI,77336,500,1/24/2024,1/24/2024,APPROVED
116130,116765,CI,116130,3900,1/24/2024,1/24/2024,APPROVED
113686,114317,CI,GS0158,2600,1/24/2024,1/24/2024,APPROVED
114080,114708,CI,114080,1000,1/24/2024,1/24/2024,APPROVED
116589,117225,CI,1191,1850,1/24/2024,1/24/2024,APPROVED
115108,115742,CI,OTR-13900558,1150,1/24/2024,1/24/2024,APPROVED
113932,114559,CI,51020,1115,1/24/2024,1/24/2024,APPROVED
116339,116975,CI,2401-01824,150,1/23/2024,1/24/2024,APPROVED - AUTO
115296,115930,CI,746152,1170,1/24/2024,1/24/2024,APPROVED
117131,117771,CI,12565,3300,1/24/2024,1/24/2024,APPROVED
116087,116722,CI,12480,650,1/24/2024,1/24/2024,APPROVED
114806,115439,CI,12366,300,1/24/2024,1/24/2024,APPROVED
113547,114178,CI,12283,300,1/24/2024,1/24/2024,APPROVED
116485,117121,CI,151016,450,1/24/2024,1/24/2024,APPROVED
116626,117263,CI,151023,450,1/24/2024,1/24/2024,APPROVED
116702,117339,CI,151020,450,1/24/2024,1/24/2024,APPROVED
112805,113435,CI,150881,1050,1/24/2024,1/24/2024,APPROVED
116488,117124,CI,151014,450,1/24/2024,1/24/2024,APPROVED
116484,117120,CI,151011,450,1/24/2024,1/24/2024,APPROVED
116465,117101,CI,CT01-0229,600,1/24/2024,1/24/2024,APPROVED
116461,117097,CI,2401-00324,1000,1/24/2024,1/24/2024,APPROVED
